Trial,RunNumber,TrialOnset,CueType,CueOffset,FixationDuration,FixationOnset,Calibration,TargetOnset,ReactionTime,FeedbackOnset,FeedbackValue,TrialEnd,OriginalITI,ExcessTime,AdjustedITI,IsWin,EndITItime,EarlyHit,CumulativeBlockTotal,TriggerTimestamp,LeadInStart,LeadOut
87,2,492.517444161,8,494.524682710995,2.5,494.539666418976,0.32,497.049301842984,0.207253505010158,498.060531927971,5,500.072927096975,4,0.0641619479865767,3.93583805201342,1,504.008869700949,0,22,264082.630216355,0.029716215969529,NaN
88,2,504.019113467948,9,506.024191345961,5,506.039465229958,0.32,NaN,NaN,506.479225759977,0,514.051010001975,6,0.0422449029865675,5.95775509701343,0,520.009998395981,1,22,264082.630216355,0.029716215969529,NaN
89,2,520.020937640977,10,522.040650898998,3.5,522.055936063989,0.32,525.562536512967,0.221162008994725,526.575453145953,9,528.589327493974,2,0.0805600059684366,1.91943999403156,1,530.510024144955,0,31,264082.630216355,0.029716215969529,NaN
90,2,530.521240075992,2,532.540358757949,3.5,532.555773592961,0.3,536.056565257953,0.232284630008508,537.079889795976,0,539.090294094989,6,0.0815289169549942,5.91847108304501,1,545.009498084954,0,31,264082.630216355,0.029716215969529,553.134650265973
91,3,5.00644861598266,9,7.01136777998181,4,7.02720938198036,0.3,11.0288865329931,0.262879084970336,12.045514479978,7,14.0614931999589,4,0.0585579200414941,3.94144207995851,1,18.0039269310073,0,7,266109.818230913,0.0273773619555868,NaN
92,3,18.0182465689722,2,20.02796991996,2.5,20.0437501900014,0.3,22.5451511639985,0.267310681985691,23.5621741589857,0,25.578627507959,6,0.0756341069936752,5.92436589300632,1,31.5039179729647,0,7,266109.818230913,0.0273773619555868,NaN
93,3,31.5153208259726,5,33.5277997530065,2.5,33.5434073289507,0.3,36.0505865519517,0.265084603975993,37.0624019120005,0,39.0769319799729,6,0.0739996519987471,5.92600034800125,1,45.003336478956,0,7,266109.818230913,0.0273773619555868,NaN
94,3,45.0134693809669,3,47.0275946479524,1.5,47.043347408995,0.28,48.549610549002,0.238675338972826,49.5612187869847,0,51.5775861609727,6,0.0746481430251151,5.92535185697488,1,57.5038250689977,0,7,266109.818230913,0.0273773619555868,NaN
95,3,57.5186261889758,10,59.5267139219795,4.5,59.5434710810077,0.26,64.0448236090015,0.230126076960005,65.0617807719973,9,67.0783468929585,6,0.0752887410344556,5.92471125896554,1,73.0039288839907,0,16,266109.818230913,0.0273773619555868,NaN
96,3,73.0195631170063,1,75.0271598069812,3,75.0429999949993,0.24,78.0517115819966,0.2784351669834,79.066994733992,-1,81.0774536529789,4,0.074501630035229,3.92549836996477,0,85.0029979699757,0,15,266109.818230913,0.0273773619555868,NaN
97,3,85.0143617699505,7,87.0269645559601,1.5,87.0427835540031,0.24,88.547037057986,0.366889726021327,89.5602173570078,0,91.577396765002,4,0.0744724880205467,3.92552751197945,0,95.5040145909879,0,15,266109.818230913,0.0273773619555868,NaN
98,3,95.5151713489904,6,97.5260302230017,4,97.5425534269889,0.24,101.545982230979,0.272319560986944,102.566204331,0,104.576491501008,2,0.0735642350045964,1.9264357649954,0,106.503539294994,0,15,266109.818230913,0.0273773619555868,NaN
99,3,106.51299442997,4,108.526374370966,2,108.542475665978,0.26,110.549300729996,0.276384878961835,111.564911880007,-7,113.576672889991,2,0.0737479410017841,1.92625205899822,0,115.50372350798,0,8,266109.818230913,0.0273773619555868,NaN
100,3,115.515008486982,8,117.526347140956,1.5,117.542474038957,0.28,119.04907723295,0.257650161976926,120.065105801972,5,122.077002570964,2,0.0740753730060533,1.92592462699395,1,124.003838228004,0,13,266109.818230913,0.0273773619555868,NaN
101,3,124.015385009989,3,126.026388590981,5,126.042179957964,0.28,131.043481091969,0.328526633034926,132.064645036007,-5,134.076293175982,4,0.0733657790115103,3.92663422098849,0,138.003771888965,0,8,266109.818230913,0.0273773619555868,NaN
102,3,138.013347041968,7,140.026703701005,3.5,140.042046993971,0.3,143.542351901997,0.32808327395469,144.560367607977,0,146.575787475973,6,0.0728608299978077,5.92713917000219,0,152.503918271977,0,8,266109.818230913,0.0273773619555868,NaN
103,3,152.515050110989,1,154.526013895986,2.5,154.541769120959,0.32,157.046570362989,0.759669901046436,158.066549638985,-1,160.076340220985,4,0.0734159310231917,3.92658406897681,0,164.003572504967,0,7,266109.818230913,0.0273773619555868,NaN
104,3,164.013438875962,9,166.025720784965,1,166.041689231002,0.34,167.049134888977,0.262171517999377,168.065018085006,7,170.076297661988,6,0.0733733160304837,5.92662668396952,1,176.003207199974,0,14,266109.818230913,0.0273773619555868,NaN
105,3,176.012774939998,8,178.025439015008,1.5,178.041555190983,0.34,179.542400014994,0.245421739004087,180.563294640975,5,182.575667677971,4,0.0727431690320373,3.92725683096796,1,186.504027682997,0,19,266109.818230913,0.0273773619555868,NaN
106,3,186.51507928397,4,188.526115766959,3,188.541441168985,0.34,191.546231026994,0.237439099990297,192.564324843988,0,194.575830096961,6,0.0729024070315063,5.92709759296849,1,200.504080876999,0,19,266109.818230913,0.0273773619555868,NaN
107,3,200.515090094006,10,202.526271206967,3,202.541198266961,0.34,205.547119627008,0.282797924010083,206.561737975979,9,208.575632775959,6,0.0727077210322022,5.9272922789678,1,214.503586449951,0,28,266109.818230913,0.0273773619555868,NaN
108,3,214.514625419979,5,216.525531464955,5,216.541050394997,0.34,221.543846668967,0.288774045999162,222.562341708981,0,224.575305621955,6,0.0723811140051112,5.92761888599489,1,230.503661068971,0,28,266109.818230913,0.0273773619555868,NaN
109,3,230.514530590968,6,232.524860132951,1.5,232.540875290986,0.34,234.046400194988,0.467412670026533,235.065880708979,0,237.074702603975,4,0.0717779530095868,3.92822204699041,0,241.003691308957,0,28,266109.818230913,0.0273773619555868,NaN
110,3,241.01318627398,2,243.024815755954,3.5,243.04066819296,0.36,246.549480505986,0.263141726027243,247.561418958008,0,249.574881998997,2,0.0719553140224889,1.92804468597751,1,251.504247635952,0,28,266109.818230913,0.0273773619555868,NaN
111,3,251.515329757007,6,253.525551497994,5,253.540572884958,0.36,258.543853724957,0.25816249102354,259.560944403987,1,261.574595907994,4,0.0716720719938166,3.92832792800618,1,265.503365166951,0,29,266109.818230913,0.0273773619555868,NaN
